0.000000E0	1.205506E0	-4.419401E-2
3.392728E-2	1.205385E0	-4.416004E-2
6.785457E-2	1.205180E0	-4.395238E-2
1.017819E-1	1.204996E0	-4.374823E-2
1.357091E-1	1.204828E0	-4.356664E-2
1.696364E-1	1.204680E0	-4.341973E-2
2.035637E-1	1.204568E0	-4.324977E-2
2.374910E-1	1.204396E0	-4.404849E-2
2.714183E-1	1.203847E0	-4.391260E-2
3.053456E-1	1.203502E0	-4.380637E-2
3.392728E-1	1.203119E0	-4.359375E-2
3.732001E-1	1.201266E0	-4.524661E-2
4.071274E-1	1.206648E0	-4.219158E-2
4.410547E-1	1.202102E0	-4.551097E-2
4.749820E-1	1.191095E0	-4.340654E-2
5.089093E-1	1.183503E0	-4.477978E-2
5.428366E-1	1.175984E0	-4.618405E-2
5.767638E-1	1.173596E0	-4.245032E-2
6.106911E-1	1.165177E0	-4.339781E-2
6.446184E-1	1.156350E0	-4.275175E-2
6.785457E-1	1.145428E0	-4.153325E-2
7.124730E-1	1.075039E0	-3.269261E-2
7.803275E-1	1.075472E0	-4.328279E-2
8.142548E-1	1.057135E0	-4.181796E-2
8.481821E-1	1.032922E0	-3.894926E-2
8.821094E-1	1.014162E0	-3.167322E-2
9.160367E-1	9.931521E-1	-2.783864E-2
9.499640E-1	9.801935E-1	-2.981704E-2
9.838913E-1	9.718956E-1	-7.333546E-2
1.526728E0	6.454385E-1	-3.029167E-2
1.560655E0	6.274852E-1	-2.293229E-2
1.594582E0	6.083562E-1	-2.348553E-2
1.628510E0	5.895277E-1	-2.419853E-2
1.662437E0	5.698384E-1	-2.368840E-2
1.696364E0	5.500424E-1	-2.348208E-2
1.730292E0	5.346198E-1	-2.198732E-2
1.764219E0	5.191798E-1	-2.114360E-2
1.798146E0	4.989435E-1	-2.134857E-2
1.832073E0	4.786669E-1	-2.048411E-2
1.866001E0	4.585783E-1	-1.902364E-2
1.899928E0	4.395128E-1	-1.943220E-2
1.933855E0	4.205830E-1	-1.936061E-2
1.967783E0	3.835730E-1	2.272162E-2
2.001710E0	3.934319E-1	-1.736937E-2
2.035637E0	3.574681E-1	-1.762873E-2
2.069564E0	3.401731E-1	-1.757285E-2
2.103492E0	3.218525E-1	-1.822656E-2
2.137419E0	3.031728E-1	-1.872196E-2
2.171346E0	2.844200E-1	-1.949369E-2
2.205274E0	2.712951E-1	-2.308416E-2
2.239201E0	2.537175E-1	-2.479284E-2
2.273128E0	2.448698E-1	-1.544569E-2
2.307055E0	2.267043E-1	-1.828834E-2
2.340983E0	2.081596E-1	-2.227334E-2
2.374910E0	1.814052E-1	-2.436661E-2
2.408837E0	1.621013E-1	-2.670194E-2
2.442764E0	1.476790E-1	-3.697740E-2
2.476692E0	1.278356E-1	-4.013693E-2
2.510619E0	1.095792E-1	-4.176569E-2
2.544546E0	8.889587E-2	-4.369298E-2
2.578474E0	6.995772E-2	-4.515630E-2
2.680255E0	5.422302E-3	-5.191685E-2
2.714183E0	-2.545782E-2	-5.022941E-2
2.748110E0	-3.769204E-2	-5.408231E-2
2.782037E0	-3.792236E-2	-5.161311E-2
2.815965E0	-6.902748E-2	-5.404302E-2
2.849892E0	-8.222596E-2	-5.408074E-2
2.883819E0	-9.463154E-2	-6.916247E-2
2.917746E0	-1.144510E-1	-6.594174E-2
2.951674E0	-1.320412E-1	-6.366844E-2
2.985601E0	-1.380887E-1	-7.091741E-2
3.019528E0	-1.563154E-1	-7.056833E-2
3.053456E0	-1.764973E-1	-6.937474E-2
3.087383E0	-1.972822E-1	-6.772298E-2
3.121310E0	-2.413599E-1	-7.146864E-2
3.155237E0	-2.559956E-1	-7.479852E-2
3.189165E0	-2.619467E-1	-7.034368E-2
3.223092E0	-2.830401E-1	-7.519607E-2
3.257019E0	-3.218732E-1	-7.119865E-2
3.290947E0	-3.383426E-1	-7.029868E-2
3.324874E0	-3.568707E-1	-6.928622E-2
3.358801E0	-3.817998E-1	-7.205362E-2
3.392728E0	-3.941518E-1	-7.137864E-2
3.426656E0	-4.273156E-1	-7.369606E-2
3.460583E0	-4.440100E-1	-7.691344E-2
3.494510E0	-4.687141E-1	-7.556349E-2
3.528438E0	-4.870172E-1	-7.043368E-2
3.562365E0	-4.949144E-1	-6.380767E-2
3.596292E0	-5.154400E-1	-6.410796E-2
3.630219E0	-5.356363E-1	-6.393316E-2
3.664147E0	-5.591595E-1	-6.396616E-2
3.698074E0	-5.803012E-1	-6.519539E-2
